Nazwa,Kurs otwarcia,Kurs min,Kurs max,Kurs zamkniecia
06MAGNA,3.195,3.15,3.28,3.19
08OCTAVA,1.03,1.03,1.03,1.03
11BIT,468,458.6,499.6,499
3RGAMES,0.726,0.698,0.786,0.786
4FUNMEDIA,7.4,7.2,7.4,7.4
ABPL,55.4,54.4,55.8,54.6
ACAUTOGAZ,33,32.7,33,33
ACTION,14.75,13.85,14.8,14.3
ADIUVO,3.23,3.2,3.23,3.2
AGORA,8.2,7.86,8.38,8.08
AGROTON,7.9,7.4,8.18,7.72
AIGAMES,3.5,3.445,3.7,3.54
AILLERON,12.85,12.75,13.2,13
AIRWAY,1.17,1.114,1.18,1.144
ALIOR,57,54.8,58.98,56.7
ALLEGRO,45,44.12,46.095,45.4
ALTA,2.49,2.3,2.49,2.3
ALTUS,1.46,1.45,1.5,1.5
ALUMETAL,56,55,56.8,56.2
AMBRA,24,23.1,24.2,23.5
AMICA,127.4,121.2,127.4,121.6
AMPLI,0,0,0,0.63
AMREST,31.4,28.4,31.4,29.96
ANSWEAR,34.2,33.3,34.6,34.25
APATOR,19.75,19.75,20,19.9
APLISENS,14.5,14.3,14.5,14.3
APSENERGY,3.56,3.3,3.56,3.33
ARCHICOM,20.2,19.8,20.5,20
ARCTIC,8.3,8,8.49,8.2
ARTERIA,6.4,6.2,6.4,6.2
ARTIFEX,10.9,10.3,10.9,10.85
ASBIS,24.8,23.6,25,23.95
ASMGROUP,0,0,0,0.45
ASSECOBS,39.5,39.5,40,39.5
ASSECOPOL,93.95,91,94,92.5
ASSECOSEE,45.7,44,46.2,44
ASTARTA,48,44.8,48.85,45.6
ATAL,43.5,43.1,43.5,43.2
ATENDE,4.35,4.32,4.46,4.46
ATLANTAPL,9.1,8.82,9.1,9.1
ATLANTIS,2.5,2.5,2.54,2.5
ATLASEST,0,0,0,2.12
ATMGRUPA,4.17,4.1,4.22,4.1
ATREM,2.27,2.22,2.27,2.22
AUGA,0,0,0,2.42
AUTOPARTN,13.65,13.25,13.8,13.4
BAHOLDING,0.735,0.712,0.747,0.737
BBIDEV,5.56,5.56,5.8,5.7
BEDZIN,7.1,7.05,7.1,7.05
BENEFIT,742,718,747,724
BERLING,0,0,0,4.8
BEST,0,0,0,26
BETACOM,6.55,6.4,6.55,6.55
BIOMEDLUB,7.57,7.3,7.68,7.572
BIOTON,4.69,4.575,4.69,4.58
BNPPPL,93.8,86,93.8,92.8
BOGDANKA,34.3,32.2,35.4,34.1
BOOMBIT,16.94,16.5,17.5,16.92
BORYSZEW,3.49,3.355,3.49,3.41
BOS,10.9,10,11.05,10.35
BOWIM,8.44,8.22,8.66,8.48
BRAND24,21.8,20.5,21.8,21
BRASTER,1.1,0.99,1.1,1.076
BUDIMEX,233,231,237.5,234.5
BUMECH,27.1,25.2,27.8,27.2
CAPITAL,2.02,2.02,2.02,2.02
CAPTORTX,181,181,187,186
CAVATINA,24.6,23.54,24.6,24.5
CCC,111.5,103.1,111.5,105.2
CCENERGY,1.21,1.08,1.21,1.12
CDPROJEKT,180,178.5,189.6,189
CDRL,28.5,26.9,28.9,27.7
CELTIC,6.95,6.95,7.15,7
CEZ,132.2,131.5,134.5,131.8
CFI,0.314,0.3,0.314,0.313
CIECH,38.8,36.55,39,37.2
CIGAMES,1.75,1.7,1.75,1.737
CITYSERV,15.34,15.3,15.36,15.3
CLNPHARMA,34,32.4,34.6,33.2
CNT,26,25,26.2,25.5
COALENERG,2.51,2.21,2.53,2.41
COGNOR,3.85,3.74,3.96,3.86
COMARCH,227,223,228,226
COMP,58.8,55,58.8,56.8
COMPERIA,6.7,6.7,6.9,6.7
CORMAY,1.275,1.238,1.3,1.28
CPGROUP,9.58,9.12,9.58,9.12
CREEPYJAR,820,787,827,787
CYFRPLSAT,35.18,34.62,35.44,35.2
CZTOREBKA,0.5,0.5,0.54,0.5
DADELO,16.8,16.55,16.99,16.56
DATAWALK,236.5,234.5,244,240
DEBICA,76.4,75,77.4,77.4
DECORA,38,35.1,38,36.9
DEKPOL,31.3,30.9,31.6,31
DELKO,15.6,14.5,15.6,15.14
DEVELIA,2.89,2.8,2.9,2.895
DGA,8.15,8.15,8.15,8.15
DIGITREE,7.8,7.75,7.8,7.75
DINOPL,337,331.6,338.4,336.4
DOMDEV,117.6,115.4,118,116
DREWEX,0,0,0,0.55
DROZAPOL,5.9,5.75,6.15,6.15
ECHO,4.4,4.325,4.45,4.355
EDINVEST,4.02,3.94,4.02,4
EFEKT,6.42,6.42,6.42,6.42
EKOEXPORT,2.99,2.87,3.1,3.1
ELEKTROTI,6.24,5.9,6.24,6.08
ELKOP,0.44,0.438,0.455,0.45
ELZAB,4.1,4.02,4.2,4.02
EMCINSMED,12.4,12.4,13,13
ENAP,1.8,1.8,1.8,1.8
ENEA,9.64,9.19,9.75,9.49
ENELMED,16.8,16.8,17,17
ENERGA,8.04,7.97,8.06,7.97
ENERGOINS,1.39,1.35,1.44,1.42
ENTER,31.3,30.6,31.5,31.4
ERBUD,61,57.8,62,59.4
ERG,0,0,0,45.8
ESOTIQ,62.6,57,64,59
ESTAR,0,0,0,1.5
EUCO,4.05,3.93,4.1,3.93
EUROCASH,11.73,11.28,11.87,11.49
EUROHOLD,0,0,0,13.6
EUROTEL,39.3,38.2,39.5,39
FAMUR,2.77,2.625,2.835,2.685
FASING,12.85,12.85,12.85,12.85
FASTFIN,1,1,1,1
FEERUM,10,9.32,10,10
FERRO,36,35,36,35.8
FERRUM,4.03,3.85,4.03,4.03
FMG,0,0,0,20
FON,0.272,0.272,0.285,0.272
FORTE,43.4,43.4,45.1,44
GAMEOPS,9.98,9.5,9.98,9.5
GAMFACTOR,9,9,9.17,9.1
GETBACK,0,0,0,3.76
GETIN,1.388,1.26,1.388,1.292
GETINOBLE,0.458,0.435,0.465,0.4455
GLCOSMED,5.05,4.55,5.1,4.94
GOBARTO,5.25,5.25,5.25,5.25
GPW,43.3,42.34,43.3,42.6
GROCLIN,4.41,4.16,4.46,4.19
GRODNO,16.74,16.5,16.74,16.6
GRUPAAZOTY,34.54,32.66,35.2,34
GTC,6.96,6.71,6.96,6.88
HANDLOWY,59,57.2,59.5,58.5
HARPER,9.1,8.72,9.5,9.44
HELIO,17.9,17.9,18.6,18.4
HERKULES,1.7,1.65,1.7,1.65
HMINWEST,25,22.7,25,23.9
HOLLYWOOD,0,0,0,0.985
HUUUGE-S144,31.5,29.965,31.5,30.395
HYDROTOR,36.6,35.7,36.8,36
I2DEV,12,12,12,12
IBSM,17.6,17.6,17.6,17.6
IDMSA,1.24,1.24,1.29,1.29
IFCAPITAL,0,0,0,4.14
IFIRMA,23.2,23.2,25.5,23.7
IFSA,3.1,2.8,3.1,2.8
IIAAV,98.5,97.5,98.5,97.5
IMCOMPANY,33.5,31.9,33.5,31.9
IMMOBILE,2.84,2.8,2.9,2.8
IMPERIO,2.52,2.52,2.53,2.53
IMS,3.12,3.1,3.12,3.1
INC,5.06,4.81,5.06,4.88
INDYGO,0,0,0,0.25
INGBSK,272,258.5,276.5,262
INPRO,7.9,7.9,7.9,7.9
INSTALKRK,31.8,31.6,32.5,31.6
INTERAOLT,18.3,18.04,18.66,18.4
INTERBUD,1.17,1.17,1.17,1.17
INTERCARS,450,445,456,447
INTERFERI,8.4,6.9,8.45,8.1
INTERSPPL,1.3,1.27,1.3,1.27
INTROL,4.93,4.85,4.93,4.85
INVISTA,3.08,2.98,3.56,3.34
IPOPEMA,3.66,3.54,3.66,3.54
ITMTRADE,0.39,0.321,0.39,0.389
IZOBLOK,55.2,55,56,56
IZOLACJA,2.68,2.68,2.7,2.7
IZOSTAL,3.23,3.11,3.25,3.2
JSW,40.2,38.9,42.28,41
JWWINVEST,2,1.95,2,2
K2HOLDING,26.7,25,26.7,25.6
KBDOM,0.33,0.32,0.33,0.32
KCI,1.18,1.13,1.2,1.135
KDMSHIPNG,0,0,0,1.4
KERNEL,60.1,58,60.4,58.8
KETY,613,609,622,612
KGHM,144.15,140.6,146.65,142.85
KGL,14.5,13.9,14.5,13.9
KINOPOL,14.95,14.9,15.4,14.95
KOGENERA,33,31.5,33,32.5
KOMPAP,0,0,0,19.6
KOMPUTRON,3.5,3.25,3.5,3.25
KPPD,62,61,62.5,62.5
KRAKCHEM,0,0,0,0.69
KREC,20,19.7,20.6,19.9
KREDYTIN,16.8,16.2,18.4,16.2
KRKA,534,534,540,540
KRUK,330,323.4,332.8,329
KRVITAMIN,17.7,17.06,18,17.06
KSGAGRO,4.3,4.2,4.48,4.43
LABOPRINT,15,14.6,15,14.9
LARK,0,0,0,0.15
LARQ,1.925,1.81,1.925,1.84
LENA,4.25,4.18,4.3,4.29
LENTEX,9.1,8.98,9.3,9
LIBET,2.16,2.07,2.16,2.07
LIVECHAT,135,128.4,136,131
LOKUM,21.8,21.8,21.8,21.8
LOTOS,57.72,55.6,59.56,57.06
LPP,13410,12710,13600,13050
LSISOFT,14.2,14.1,14.55,14.4
LUBAWA,1.206,1.162,1.212,1.184
MABION,67.9,67.4,70.2,69.1
MAKARONPL,6.98,6.9,6.98,6.9
MANGATA,79.8,77.2,79.8,79
MANYDEV,2.48,2.48,2.5,2.5
MARVIPOL,8,7.78,8.18,7.86
MASTERPHA,0,0,0,4.27
MAXCOM,11.3,11.1,11.3,11.2
MBANK,507.5,489.4,524.5,516.5
MBWS,6.68,6.68,6.68,6.68
MCI,24.6,23.3,24.9,23.8
MDIENERGIA,3.04,2.96,3.04,2.98
MEDIACAP,3.27,3.27,3.3,3.27
MEDICALG,20.2,19.84,20.35,20.25
MEDINICE,23.5,22.9,24.7,23
MEGARON,0,0,0,13.7
MENNICA,21.4,21.1,21.4,21.1
MERCATOR,102.8,101.35,104.2,104.05
MERCOR,16.2,16.2,16.85,16.85
MEXPOLSKA,2.26,2.2,2.26,2.2
MFO,58,54,58,57
MILKILAND,2.96,2.86,2.96,2.95
MILLENNIUM,7.9,7.53,8.08,7.795
MIRACULUM,1.765,1.59,1.765,1.61
MIRBUD,3.63,3.575,3.65,3.625
MLPGROUP,74,71.8,74,71.8
MLSYSTEM,97.6,92.4,105.8,104.4
MOBRUK,391,390,400,395
MOJ,1.64,1.64,1.735,1.735
MOL,32,30.74,32,30.98
MONNARI,2.76,2.71,2.78,2.77
MOSTALPLC,21.5,20.4,21.8,21.3
MOSTALWAR,6.56,6.42,6.68,6.54
MOSTALZAB,1.78,1.695,1.82,1.8
MUZA,5.45,5.2,5.45,5.2
MWTRADE,4.42,4.41,4.42,4.41
NANOGROUP,4.91,4.8,4.915,4.895
NETIA,0,0,0,6.94
NEUCA,823,784,829,800
NEWAG,21.8,21.6,22,22
NEXITY,2.56,2.54,2.8,2.8
NOVATURAS,19.7,19.7,19.7,19.7
NOVAVISGR,1.235,1.105,1.235,1.2
NOVITA,178,167.5,178,167.5
NTTSYSTEM,5.34,5,5.34,5.14
OAT,39,38.5,40,39.4
ODLEWNIE,5.74,5.74,5.86,5.86
OEX,24.9,24,26.9,26.2
ONDE,19.25,17.998,19.25,18.2
OPENFIN,0.94,0.89,0.94,0.91
OPONEO.PL,68,67,68.6,68.6
OPTEAM,14.4,14.2,14.4,14.25
ORANGEPL,8.34,8.175,8.37,8.265
ORCOGROUP,2.65,2.65,2.65,2.65
ORZBIALY,26.9,25.6,26.9,26.5
OTLOG,9.8,9.48,10,10
OTMUCHOW,3.72,3.5,3.72,3.6
OVOSTAR,0,0,0,68
PAMAPOL,2.68,2.6,2.7,2.65
PANOVA,14.9,14.9,15,15
PATENTUS,1.02,0.98,1.045,1
PBG,0,0,0,0.048
PBKM,90,90,90,90
PBSFINANSE,0.4,0.4,0.4,0.4
PCCEXOL,2.854,2.72,2.862,2.818
PCCROKITA,95.2,92.4,96.5,95
PCFGROUP,41.46,40.14,41.46,40.5
PCGUARD,0,0,0,1.17
PEKABEX,21.5,20.4,21.7,21.1
PEKAO,122,116.45,123.95,119.25
PEP,85.2,81,85.2,83.9
PEPCO,47.9,46.805,48.395,47.835
PEPEES,1.2,1.185,1.2,1.185
PGE,9.45,9.006,9.454,9.3
PGFGROUP,1.65,1.53,1.7,1.66
PGNIG,5.932,5.81,6.1,6.098
PGSSOFT,0,0,0,17.9
PHARMENA,9.77,9.54,10,9.85
PHN,14.2,13.2,14.45,13.5
PHOTON,7.4,7.25,7.8,7.65
PKNORLEN,79,76.3,80.5,77.22
PKOBP,44.68,43.34,45.06,43.75
PKPCARGO,15.86,15.2,16,15.6
PLASTBOX,2.4,2.38,2.4,2.38
PLAYWAY,430,427,435,428.6
PLAZACNTR,2.75,2.621,2.8605,2.81
PMPG,0,0,0,4.28
POLICE,11.9,11.9,12.05,12
POLIMEXMS,4.46,4.02,4.46,4.19
POLWAX,3.22,2.95,3.22,3.01
POZBUD,4.54,4.21,4.54,4.34
PRAGMAINK,4.98,4.84,4.98,4.84
PRAIRIE,0.679,0.663,0.679,0.673
PRIMAMODA,0,0,0,1.21
PRIMETECH,1.3,1.3,1.3,1.3
PROCAD,0,0,0,1.89
PROCHEM,25.4,24.8,25.4,24.8
PROJPRZEM,13.7,12.9,13.7,13.2
PROTEKTOR,3.32,3.23,3.32,3.3
PROVIDENT,7.6,7.5,7.6,7.5
PULAWY,84.8,83,84.8,83.8
PUNKPIRAT,0.58,0.576,0.6,0.6
PURE,79.6,76.2,79.6,78.8
PZU,37.55,35.55,37.68,35.88
QUANTUM,49.6,49,49.6,49
QUERCUS,4.23,4.12,4.29,4.13
R22,51.6,50.3,51.8,50.4
RADPOL,3.24,3.04,3.33,3.04
RAFAKO,1.392,1.3,1.392,1.366
RAFAMET,0,0,0,17.1
RAINBOW,24.85,24,25,24.55
RANKPROGR,2.28,2.2,2.5,2.25
RAWLPLUG,19,18.6,19.8,18.6
REDAN,0.42,0.39,0.42,0.414
REGNON,0,0,0,0.795
REINHOLD,0.193,0.193,0.193,0.193
REINO,1.91,1.8,1.91,1.83
RELPOL,7.82,7.4,7.82,7.8
REMAK,17.9,16.8,17.9,17.5
RESBUD,0.98,0.98,1,0.98
RONSON,2.48,2.48,2.55,2.5
ROPCZYCE,31.2,31,31.7,31.6
RYVU,58.8,58.8,60.9,60
SADOVAYA,0,0,0,0.12
SANOK,17,16.2,17.2,16.5
SANPL,352.6,338.8,356,343.8
SANTANDER,14,13.82,14.67,14.15
SANWIL,2.14,2.13,2.185,2.185
SATIS,0.9,0.858,0.938,0.882
SECOGROUP,15,14.8,15.4,15.4
SEKO,9.5,9.5,9.5,9.5
SELENAFM,23.8,23.1,24.2,23.1
SELVITA,77,75,80,79.9
SERINUS,0.855,0.81,0.8659,0.83
SESCOM,51.5,51,51.5,51
SFINKS,0.568,0.465,0.568,0.538
SHOPER,87.7,80.1,87.7,84.99
SILVAIR-REGS,0,0,0,5.4
SILVANO,9.4,9.4,9.78,9.4
SIMPLE,0,0,0,13.2
SKARBIEC,30.1,30,30.5,30.4
SKOTAN,1.81,1.755,1.835,1.76
SKYLINE,1.02,0.93,1.02,0.93
SLEEPZAG,0,0,0,0.72
SNIEZKA,79.6,79.6,81,81
SOHODEV,0.39,0.39,0.39,0.39
SOLAR,5.2,4.68,5.2,4.69
SONEL,10.5,10.35,10.5,10.35
SOPHARMA,8.9,8.85,8.9,8.85
STALEXP,4,3.96,4.02,3.99
STALPROD,310.5,295,310.5,308.5
STALPROFI,10.6,9.9,10.6,10.4
STAPORKOW,2.82,2.8,2.92,2.92
STARHEDGE,0.534,0.534,0.534,0.534
SUNEX,4.52,4.15,4.65,4.39
SUWARY,22,22,22,22
SWISSMED,10.5,10.5,10.65,10.65
SYGNITY,9.3,9.02,9.5,9.36
SYNEKTIK,28.6,28.3,29.1,28.6
TALEX,14.8,14.5,14.8,14.7
TARCZYNSKI,41.2,41.2,41.2,41.2
TATRY,0,0,0,160
TAURONPE,3.099,2.95,3.108,3.02
TBULL,18.42,18.12,18.78,18.78
TERMOREX,0.905,0.9,0.915,0.9
TESGAS,3.8,3.62,3.8,3.71
TIM,43.25,41.75,43.65,43.05
TORPOL,13.56,13.22,13.6,13.36
TOWERINVT,13,12.7,13,12.7
TOYA,8.14,7.61,8.15,7.72
TRAKCJA,1.96,1.92,1.982,1.952
TRANSPOL,3.78,3.75,3.78,3.75
TRITON,0,0,0,3.28
TSGAMES,351.4,349.4,368,353.4
TXM,0,0,0,0.1
ULMA,64,61.5,64,64
ULTGAMES,24,23.25,24,24
UNIBEP,11.15,10.65,11.15,10.65
UNICREDIT,52.17,51.55,52.17,51.55
UNIMA,3,3,3.02,3.02
UNIMOT,42,40.9,43,41.85
URSUS,0.305,0.3,0.3775,0.358
VENTUREIN,2.4,2.3,2.4,2.3
VERCOM,52.2,50.25,52.2,50.9
VIGOSYS,692,692,718,718
VINDEXUS,7.9,7.6,7.9,7.62
VISTAL,2.97,2.71,2.97,2.81
VIVID,1.404,1.36,1.404,1.394
VOTUM,14.18,14,14.5,14.5
VOXEL,51.8,49.6,52.2,49.8
VRG,3.93,3.87,3.93,3.9
WARIMPEX,0,0,0,5.88
WASKO,1.58,1.56,1.595,1.59
WAWEL,556,536,556,540
WIELTON,10,9.12,10.18,9.75
WIKANA,4.5,4.46,4.5,4.46
WINVEST,0.304,0.304,0.304,0.304
WIRTUALNA,147.8,143.6,150,149.8
WITTCHEN,13.8,13.6,14,13.6
WOJAS,4.43,4.35,4.43,4.43
WORKSERV,1.2,1.132,1.2,1.18
XTB,15.85,15.52,15.96,15.59
XTPL,49.95,48.2,49.95,49.4
YOLO,0,0,0,0.88
ZAMET,0.88,0.86,0.898,0.888
ZEPAK,18.1,17.3,18.4,17.9
ZPUE,205,205,205,205
ZREMB,1.08,1.01,1.08,1.045
ZUE,3.53,3.42,3.53,3.51
ZYWIEC,516,508,518,518
